samples	line count	READS
sd_SRR1656569.fastq	89443212	22360803
sd_SRR1656576.fastq	77585544	19396386
sd_SRR1656586.fastq	74789800	18697450
sd_SRR1656587.fastq	75777120	18944280
septic_shock_SRR1656489.fastq	119007736	29751934
septic_shock_SRR1656498.fastq	75686596	18921649
septic_shock_SRR1656499.fastq	80205004	20051251
septic_shock_SRR1656508.fastq	77320740	19330185
sev_sep_SRR1656521.fastq	67241364	16810341
sev_sep_SRR1656527.fastq	108454184	27113546
sev_sep_SRR1656531.fastq	74125428	18531357
sev_sep_SRR1656535.fastq	65783772	16445943
sirs_SRR1656471.fastq	72886456	18221614
sirs_SRR1656472.fastq	71812268	17953067
sirs_SRR1656474.fastq	76509508	19127377
sirs_SRR1656478.fastq	70820348	17705087
us_SRR1656544.fastq	72371548	18092887
us_SRR1656548.fastq	68628880	17157220
us_SRR1656552.fastq	106822820	26705705
us_SRR1656562.fastq	70685220	17671305
